Monday_item_id,Name,Contact_name,Firm,Kind,Priority,Status,Website,Domain,LinkedIn,Owner
13132419392,Dayna Grayson,Dayna Grayson,Construct Capital,Person,,To Contact,https://construct.capital,construct.capital,https://www.linkedin.com/in/daynagrayson,Gideon Blaauw
13132420194,Francesco Filia,Francesco Filia,Fasanara Capital,Person,,To Contact,https://mattkus.com,mattkus.com,,Gideon Blaauw
13132447865,Hemant Taneja,Hemant Taneja,General Catalyst,Person,,To Contact,https://www.generalcatalyst.com,generalcatalyst.com,https://www.linkedin.com/in/hemant,Gideon Blaauw
13132419461,Itai Tsiddon,Itai Tsiddon,LGVP,Person,,To Contact,https://lgvp.com,lgvp.com,https://www.linkedin.com/in/itai-tsiddon-8528a215,Gideon Blaauw
13132419984,Jaime Zunzunegui,Jaime Zunzunegui,Nazca,Person,,To Contact,https://www.nazca.vc,nazca.vc,https://www.linkedin.com/in/zunzunegui-jaime-87283223,Gideon Blaauw
